board,hand,meets_frozen_gap_threshold,bettor_seat,caller_seat,bettor_range_before_collision,caller_range_before_collision,bettor_joint_marginal,caller_joint_marginal,bettor_group,caller_group,full_check,compressed_check,full_bet_45,compressed_bet_45,full_call_facing_45,compressed_call_facing_45
Kh 4h 6h Qc Ac,2c Jd,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010886426527753077,9.977026405323653e-07,13,2,1.0,0.9999117191871583,0.0,8.828081284170859e-05,0.0,0.421263202038205
Kh 4h 6h Qc Ac,2c Jh,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010926493435413523,9.965420637232172e-07,13,2,1.0,0.9999117191871583,0.0,8.828081284170859e-05,1.0,0.421263202038205
Kh 4h 6h Qc Ac,2c Js,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010886426527753077,9.977026405323655e-07,13,2,1.0,0.9999117191871583,0.0,8.828081284170859e-05,0.0,0.421263202038205
Kh 4h 6h Qc Ac,2c Qd,0,1,3,0.0010637240212944875,0.0017362380985463139,0.0010853862598241232,0.0017310041146316854,12,12,1.0,0.9999339325891439,0.0,6.606741085611172e-05,1.0,0.99999
Kh 4h 6h Qc Ac,2c Qh,0,1,3,0.0010637240212944875,0.0017362380985463139,0.0010846743209396432,0.001731234928922563,0,12,1.0,0.9999474840802659,0.0,5.251591973412176e-05,1.0,0.99999
Kh 4h 6h Qc Ac,2c Qs,0,1,3,0.0010637240212944875,0.0017362380985463139,0.0010853862598241232,0.0017310041146316854,12,12,1.0,0.9999339325891439,0.0,6.606741085611172e-05,1.0,0.99999
Kh 4h 6h Qc Ac,2c Kc,0,1,3,9.998410252769808e-07,9.992425741288106e-07,1.0080125175108637e-06,1.0021763123473019e-06,5,0,0.0,0.7095180472568701,1.0,0.29048195274313,1.0,0.99999
Kh 4h 6h Qc Ac,2c Kd,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010713349267751464,1.0033368891564502e-06,5,0,0.0,0.7095180472568701,1.0,0.29048195274313,1.0,0.99999
Kh 4h 6h Qc Ac,2c Ks,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010713349267751462,1.0033368891564502e-06,5,0,0.0,0.7095180472568701,1.0,0.29048195274313,1.0,0.99999
Kh 4h 6h Qc Ac,2c Ad,0,1,3,0.0010637240212944875,0.0030177586879034965,0.0010299691847146352,0.003025895501462058,14,8,0.0,1e-05,1.0,0.99999,1.0,0.99999
Kh 4h 6h Qc Ac,2c Ah,0,1,3,0.0010637240212944875,0.0030177586879034965,0.0010368247335049933,0.003025010623279636,14,8,0.0,1e-05,1.0,0.99999,1.0,0.99999
Kh 4h 6h Qc Ac,2c As,0,1,3,0.0010637240212944875,0.0030177586879034965,0.0010299691847146352,0.003025895501462058,14,8,0.0,1e-05,1.0,0.99999,1.0,0.99999
Kh 4h 6h Qc Ac,2d 2h,0,1,3,0.0010637240212944875,0.0023204348820166426,0.0010983993623509907,0.00233053713624704,13,2,1.0,0.9999117191871583,0.0,8.828081284170859e-05,0.0,0.421263202038205
